PL,,Mean:,-0.433,,,
1.334289,,STDEV:,6.233,,,
6.364078,,,,,,
-6.235839,,Lower:,-50,,,
-0.002917,,Upper:,50,,,
-2.924004,,Num,40,,,
-1.935604,,,,,,
-8.044844,,-50,,Bin,Frequency,
-3.672854,,-47.5,,-50,0,0
4.106865,,-45,,-47.5,0,0
1.469317,,-42.5,,-45,0,0
-0.607012,,-40,,-42.5,0,0
-8.266266,,-37.5,,-40,0,0
-8.642538,,-35,,-37.5,0,0
-4.628538,,-32.5,,-35,0,0
3.47856,,-30,,-32.5,0,0
8.381692,,-27.5,,-30,0,0
-0.584661,,-25,,-27.5,0,0
5.880328,,-22.5,,-25,0,0
1.682068,,-20,,-22.5,0,0
-6.346676,,-17.5,,-20,0,0
-2.202439,,-15,,-17.5,3,0.015
-4.513773,,-12.5,,-15,0,0
-4.205206,,-10,,-12.5,2,0.01
-6.070581,,-7.5,,-10,8,0.04
6.455704,,-5,,-7.5,12,0.06
-0.095462,,-2.5,,-5,19,0.095
2.356718,,0,,-2.5,26,0.13
5.714447,,2.5,,0,34,0.17
-1.33349,,5,,2.5,31,0.155
1.410596,,7.5,,5,22,0.11
-7.139777,,10,,7.5,25,0.125
-12.17987,,12.5,,10,10,0.05
-4.550765,,15,,12.5,6,0.03
0.287542,,17.5,,15,1,0.005
10.197053,,20,,17.5,1,0.005
6.117218,,22.5,,20,0,0
-4.928531,,25,,22.5,0,0
0.672943,,27.5,,25,0,0
5.100861,,30,,27.5,0,0
-0.365812,,32.5,,30,0,0
15.956587,,35,,32.5,0,0
4.324809,,37.5,,35,0,0
-0.150131,,40,,37.5,0,0
-5.758109,,42.5,,40,0,0
-9.765794,,45,,42.5,0,0
-7.187541,,47.5,,45,0,0
-2.050119,,50,,47.5,0,0
10.835379,,,,50,0,0
2.502843,,,,More,0,200
0.894258,,,,,,
4.767589,,,,,,
-0.44114,,,,,,
-9.08137,,,,,,
2.201718,,,,,,
10.30372,,,,,,
-2.054658,,,,,,
-1.607318,,,,,,
-10.048525,,,,,,
9.954955,,,,,,
2.547648,,,,,,
-5.14709,,,,,,
1.423675,,,,,,
6.303068,,,,,,
-0.853019,,,,,,
-8.493168,,,,,,
-3.977083,,,,,,
7.723506,,,,,,
0.348599,,,,,,
4.036411,,,,,,
0.173193,,,,,,
0.56025,,,,,,
4.07749,,,,,,
-5.783162,,,,,,
-6.51465,,,,,,
-3.150602,,,,,,
-1.036125,,,,,,
7.816168,,,,,,
-14.339896,,,,,,
-11.361909,,,,,,
5.702478,,,,,,
-0.600638,,,,,,
2.053392,,,,,,
10.108046,,,,,,
3.522786,,,,,,
-6.71954,,,,,,
0.339281,,,,,,
-4.424108,,,,,,
-1.037464,,,,,,
-3.193524,,,,,,
-2.632792,,,,,,
2.915811,,,,,,
2.385858,,,,,,
5.129044,,,,,,
-9.466583,,,,,,
-1.164539,,,,,,
-10.189553,,,,,,
-7.020089,,,,,,
-1.926381,,,,,,
-8.960659,,,,,,
-2.849846,,,,,,
-3.377754,,,,,,
3.838853,,,,,,
2.178628,,,,,,
-5.055061,,,,,,
-19.680512,,,,,,
-3.890054,,,,,,
-2.460689,,,,,,
-3.903867,,,,,,
0.766578,,,,,,
-4.258389,,,,,,
-9.572957,,,,,,
8.226581,,,,,,
-4.070789,,,,,,
-1.150624,,,,,,
0.00553,,,,,,
-12.118787,,,,,,
8.873482,,,,,,
7.720996,,,,,,
5.936687,,,,,,
-19.45338,,,,,,
-2.523562,,,,,,
6.691111,,,,,,
6.029149,,,,,,
-7.644738,,,,,,
-4.308807,,,,,,
0.821829,,,,,,
-0.888523,,,,,,
5.487985,,,,,,
0.918595,,,,,,
-1.80885,,,,,,
1.948434,,,,,,
-6.351205,,,,,,
-0.112747,,,,,,
-1.06595,,,,,,
4.608292,,,,,,
-2.067411,,,,,,
6.673633,,,,,,
-4.294509,,,,,,
-0.732825,,,,,,
0.922321,,,,,,
-8.013454,,,,,,
-11.277032,,,,,,
4.089753,,,,,,
6.007075,,,,,,
-5.378748,,,,,,
-2.454889,,,,,,
4.966939,,,,,,
7.966696,,,,,,
-4.960475,,,,,,
4.705784,,,,,,
-1.189819,,,,,,
3.948276,,,,,,
-19.802247,,,,,,
-7.459092,,,,,,
-7.269045,,,,,,
0.192047,,,,,,
4.432457,,,,,,
13.381777,,,,,,
-5.800512,,,,,,
4.299145,,,,,,
7.13514,,,,,,
10.81908,,,,,,
-3.691172,,,,,,
7.232509,,,,,,
-0.330862,,,,,,
-6.841551,,,,,,
1.585329,,,,,,
6.444646,,,,,,
1.414724,,,,,,
-2.966124,,,,,,
-10.704767,,,,,,
-2.343664,,,,,,
1.528216,,,,,,
0.939366,,,,,,
3.270909,,,,,,
-3.349525,,,,,,
-10.883111,,,,,,
-0.471818,,,,,,
2.395904,,,,,,
2.891254,,,,,,
-4.054811,,,,,,
7.873174,,,,,,
6.944045,,,,,,
6.085645,,,,,,
5.734344,,,,,,
2.266164,,,,,,
10.179924,,,,,,
3.526406,,,,,,
-5.857053,,,,,,
5.030996,,,,,,
8.474291,,,,,,
-0.950882,,,,,,
-0.585958,,,,,,
1.724786,,,,,,
5.661687,,,,,,
-8.109117,,,,,,
-13.265147,,,,,,
5.635563,,,,,,
4.218738,,,,,,
6.167429,,,,,,
80,,,,,,
