target_value
2.20018e+00
2.21215e+00
2.19515e+00
2.25659e+00
2.19037e+00
2.20755e+00
2.20524e+00
2.21865e+00
2.19794e+00
2.18304e+00
2.19036e+00
2.19334e+00
2.18340e+00
2.18734e+00
2.21630e+00
2.20533e+00
2.19367e+00
2.20359e+00
2.19823e+00
2.22833e+00
2.20597e+00
2.17569e+00
2.21375e+00
2.23391e+00
2.18464e+00
2.19000e+00
2.19287e+00
2.19822e+00
2.14622e+00
2.19912e+00
2.21917e+00
2.24308e+00
2.21963e+00
2.20252e+00
2.20824e+00
2.16781e+00
2.18261e+00
2.18033e+00
2.19655e+00
2.22425e+00
2.19779e+00
2.19150e+00
2.17794e+00
2.22037e+00
2.18295e+00
2.17017e+00
2.19132e+00
2.24153e+00
2.19936e+00
2.17502e+00
