PL,,Bin,,,,,,,
10.607526,,,,,,,,,
8.016566,,,,,,,,,
-2.315699,,,,,,,,,
10.463467,,,,,,,,,
-4.046141,,,,,,,,,
12.814648,,,,,,,,,
1.947805,,,,,,,,,
0.591247,,,,,,,,,
-0.944708,,,,,,,,,
-3.836145,,,,,,,,,
5.798588,,,,,,,,,
5.995142,,,,,,,,,
2.105161,,,,,,,,,
4.693078,,,,,,,,,
3.345399,,,,,,,,,
8.486032,,,,,,,,,
-0.678715,,,,,,,,,
-10.39116,,,,,,,,,
12.157016,,,,,,,,,
-1.672748,,,,,,,,,
