target_value
3.11613e+00
3.19828e+00
3.07962e+00
3.13080e+00
3.15853e+00
3.09801e+00
3.07532e+00
3.23222e+00
3.26111e+00
3.18188e+00
3.22141e+00
3.10804e+00
3.20024e+00
3.21525e+00
3.26416e+00
3.13268e+00
3.07961e+00
3.25967e+00
3.23772e+00
3.11261e+00
3.11060e+00
3.19110e+00
3.10685e+00
3.17127e+00
3.11339e+00
3.22648e+00
3.23967e+00
3.08922e+00
3.25086e+00
3.25635e+00
3.18792e+00
3.17547e+00
3.09046e+00
3.14119e+00
3.19700e+00
3.12838e+00
3.14908e+00
3.11992e+00
3.26202e+00
3.07428e+00
3.17900e+00
3.13769e+00
3.09205e+00
3.22856e+00
3.09867e+00
3.16367e+00
3.21584e+00
3.11540e+00
3.21587e+00
3.07553e+00
