PL,,Mean:,-0.134,,,
5.246109,,STDEV:,4.181,,,
0.228565,,,,,,
5.569663,,Lower:,-40,,,
-1.953313,,Upper:,40,,,
-2.37535,,Num,40,,,
-0.401282,,,,,,
2.443126,,-40,,Bin,Frequency,
2.021569,,-38,,-40,0,0
6.808596,,-36,,-38,0,0
-2.239367,,-34,,-36,0,0
-7.829775,,-32,,-34,0,0
-0.061463,,-30,,-32,0,0
0.522363,,-28,,-30,0,0
-2.675084,,-26,,-28,0,0
8.442579,,-24,,-26,0,0
5.815873,,-22,,-24,0,0
0.830681,,-20,,-22,0,0
-5.926658,,-18,,-20,0,0
-2.442741,,-16,,-18,1,0.005
1.263463,,-14,,-16,0,0
8.097694,,-12,,-14,0,0
7.222916,,-10,,-12,0,0
-0.648482,,-8,,-10,2,0.01
4.852567,,-6,,-8,2,0.01
-1.479799,,-4,,-6,12,0.06
-6.632935,,-2,,-4,16,0.08
-8.306697,,0,,-2,26,0.13
-11.233027,,2,,0,37,0.185
5.189414,,4,,2,40,0.2
2.405148,,6,,4,33,0.165
-1.989483,,8,,6,22,0.11
2.498048,,10,,8,5,0.025
-3.819275,,12,,10,4,0.02
1.696536,,14,,12,0,0
-4.767261,,16,,14,0,0
0.091219,,18,,16,0,0
4.654629,,20,,18,0,0
-1.133722,,22,,20,0,0
-2.958531,,24,,22,0,0
-18.731855,,26,,24,0,0
-3.195388,,28,,26,0,0
2.254618,,30,,28,0,0
-0.11636,,32,,30,0,0
0.182032,,34,,32,0,0
0.049248,,36,,34,0,0
2.433143,,38,,36,0,0
1.659084,,40,,38,0,0
-4.668909,,,,40,0,0
-0.9524,,,,More,0,200
-2.809992,,,,,,
-7.261131,,,,,,
1.653441,,,,,,
-2.327623,,,,,,
2.69053,,,,,,
4.551325,,,,,,
-1.174927,,,,,,
0.986174,,,,,,
5.870896,,,,,,
1.902938,,,,,,
-3.170599,,,,,,
1.893628,,,,,,
1.105601,,,,,,
8.594214,,,,,,
0.911213,,,,,,
0.965218,,,,,,
1.940437,,,,,,
-1.59102,,,,,,
-1.165449,,,,,,
5.626936,,,,,,
-4.822552,,,,,,
2.558271,,,,,,
0.205569,,,,,,
6.012892,,,,,,
1.259027,,,,,,
-5.843696,,,,,,
-1.992373,,,,,,
-1.393341,,,,,,
-1.406251,,,,,,
-7.83817,,,,,,
-4.599463,,,,,,
2.762231,,,,,,
-2.084849,,,,,,
2.010786,,,,,,
-7.392346,,,,,,
3.631259,,,,,,
4.757372,,,,,,
-0.042836,,,,,,
-6.294386,,,,,,
3.050104,,,,,,
7.243968,,,,,,
1.147765,,,,,,
-3.670554,,,,,,
-4.139266,,,,,,
8.649167,,,,,,
3.748067,,,,,,
0.525676,,,,,,
-0.070342,,,,,,
5.317144,,,,,,
5.734087,,,,,,
-5.604991,,,,,,
5.563245,,,,,,
-1.996887,,,,,,
-0.054889,,,,,,
-1.136423,,,,,,
3.724818,,,,,,
3.857874,,,,,,
3.474764,,,,,,
2.440826,,,,,,
-5.198727,,,,,,
0.358396,,,,,,
3.137132,,,,,,
-1.274962,,,,,,
1.074652,,,,,,
-5.70833,,,,,,
2.293737,,,,,,
0.6179,,,,,,
0.182174,,,,,,
1.182812,,,,,,
3.083883,,,,,,
3.383749,,,,,,
1.093467,,,,,,
-6.260413,,,,,,
4.995009,,,,,,
5.467367,,,,,,
3.781281,,,,,,
-0.868174,,,,,,
0.266992,,,,,,
-0.682477,,,,,,
-0.393205,,,,,,
-2.135216,,,,,,
-0.149412,,,,,,
1.332461,,,,,,
3.362504,,,,,,
-3.66663,,,,,,
-2.654094,,,,,,
-1.587426,,,,,,
1.260865,,,,,,
1.516908,,,,,,
-0.18306,,,,,,
-11.187248,,,,,,
-0.876533,,,,,,
-3.033611,,,,,,
-3.707862,,,,,,
0.560962,,,,,,
0.059248,,,,,,
1.773971,,,,,,
-5.527015,,,,,,
6.196963,,,,,,
-5.912285,,,,,,
-2.983427,,,,,,
-3.859263,,,,,,
3.941267,,,,,,
1.871758,,,,,,
3.225998,,,,,,
-2.898699,,,,,,
-0.738321,,,,,,
4.674171,,,,,,
-1.540145,,,,,,
-2.915048,,,,,,
-2.419449,,,,,,
-6.974823,,,,,,
-0.485248,,,,,,
4.562479,,,,,,
-9.412633,,,,,,
2.192188,,,,,,
2.124328,,,,,,
-5.307804,,,,,,
4.386318,,,,,,
-4.93365,,,,,,
-6.884293,,,,,,
-3.669579,,,,,,
-6.974653,,,,,,
-1.495545,,,,,,
-1.591175,,,,,,
1.758397,,,,,,
-6.013606,,,,,,
2.76506,,,,,,
2.003154,,,,,,
-3.063324,,,,,,
2.050635,,,,,,
0.0047,,,,,,
2.953618,,,,,,
2.411746,,,,,,
0.407466,,,,,,
4.278093,,,,,,
4.437379,,,,,,
-6.578207,,,,,,
1.315781,,,,,,
-1.629124,,,,,,
-4.09138,,,,,,
-0.377649,,,,,,
-3.484994,,,,,,
3.299046,,,,,,
5.154351,,,,,,
-5.958884,,,,,,
-0.508839,,,,,,
5.396895,,,,,,
0.398714,,,,,,
-0.345792,,,,,,
-3.599835,,,,,,
160,,,,,,
