10.683,6.062,2.332,0.388,0.022,11.476,7.071,3.455,1.097,0.245,12.191,7.977,4.414,1.909,0.606,14.249,10.275,6.843,4.031,2.125,16.134,12.359,8.919,6.059,3.778
10.677,6.061,2.308,0.402,0.047,11.478,7.090,3.445,1.156,0.248,12.195,7.959,4.425,1.911,0.603,14.283,10.304,6.870,4.068,2.135,16.133,12.321,8.958,6.045,3.799
10.702,6.087,2.276,0.393,0.037,11.407,7.076,3.453,1.125,0.243,12.179,7.971,4.411,1.900,0.580,14.237,10.268,6.787,4.082,2.095,16.144,12.331,8.901,6.029,3.810
10.668,6.078,2.289,0.395,0.036,11.438,7.089,3.434,1.125,0.244,12.201,7.975,4.407,1.898,0.601,14.271,10.259,6.818,4.086,2.123,16.142,12.330,8.910,6.065,3.803
10.692,6.088,2.300,0.390,0.067,11.466,7.103,3.436,1.146,0.232,12.163,7.983,4.390,1.918,0.610,14.214,10.295,6.848,4.039,2.089,16.160,12.318,8.900,6.069,3.794
10.691,6.088,2.292,0.393,0.033,11.495,7.086,3.432,1.138,0.260,12.192,7.982,4.415,1.899,0.600,14.248,10.326,6.853,4.034,2.102,16.161,12.291,8.879,6.014,3.774
10.716,6.072,2.327,0.393,0.036,11.459,7.073,3.429,1.140,0.218,12.212,7.971,4.425,1.923,0.604,14.245,10.283,6.832,4.078,2.097,16.129,12.301,8.962,6.042,3.771
10.694,6.081,2.328,0.404,0.022,11.448,7.097,3.462,1.123,0.247,12.210,7.982,4.417,1.881,0.609,14.277,10.285,6.851,4.063,2.097,16.171,12.279,8.945,6.062,3.796
10.681,6.076,2.293,0.391,0.031,11.451,7.105,3.459,1.130,0.234,12.192,7.970,4.410,1.867,0.593,14.240,10.263,6.811,4.090,2.101,16.104,12.292,8.920,6.058,3.763
10.708,6.080,2.299,0.385,0.052,11.468,7.076,3.434,1.135,0.264,12.198,7.947,4.407,1.926,0.610,14.276,10.299,6.813,4.061,2.078,16.164,12.354,8.953,6.031,3.759
10.680,6.092,2.308,0.393,0.037,11.445,7.098,3.446,1.147,0.261,12.179,7.978,4.407,1.889,0.580,14.255,10.291,6.813,4.052,2.080,16.175,12.320,8.936,6.072,3.786
10.666,6.092,2.284,0.411,0.032,11.445,7.077,3.456,1.161,0.244,12.197,7.950,4.422,1.935,0.601,14.264,10.277,6.769,4.062,2.146,16.162,12.322,8.924,6.079,3.776
10.711,6.075,2.298,0.389,0.048,11.468,7.042,3.471,1.157,0.257,12.202,7.941,4.408,1.918,0.626,14.257,10.271,6.854,4.053,2.085,16.132,12.389,8.942,6.050,3.792
10.705,6.060,2.296,0.417,0.031,11.474,7.093,3.436,1.114,0.247,12.170,7.959,4.429,1.927,0.598,14.283,10.287,6.826,4.077,2.117,16.181,12.300,8.908,6.076,3.779
10.687,6.090,2.308,0.413,0.039,11.482,7.078,3.450,1.135,0.236,12.210,7.942,4.414,1.877,0.607,14.239,10.279,6.817,4.073,2.097,16.160,12.287,8.903,6.019,3.787
10.675,6.102,2.305,0.380,0.038,11.485,7.092,3.461,1.130,0.235,12.194,7.969,4.391,1.892,0.619,14.209,10.299,6.856,4.060,2.105,16.164,12.296,8.896,6.038,3.786
10.681,6.069,2.317,0.392,0.028,11.458,7.094,3.450,1.136,0.252,12.224,7.982,4.415,1.932,0.572,14.225,10.303,6.841,4.062,2.118,16.159,12.350,8.943,6.055,3.796
10.690,6.084,2.330,0.409,0.043,11.469,7.066,3.432,1.119,0.235,12.199,7.978,4.389,1.901,0.587,14.282,10.263,6.813,4.090,2.060,16.183,12.319,8.977,6.039,3.788
10.704,6.091,2.303,0.407,0.023,11.436,7.102,3.447,1.161,0.253,12.188,7.979,4.406,1.931,0.632,14.281,10.268,6.813,4.059,2.105,16.166,12.338,8.909,6.017,3.780
10.707,6.074,2.297,0.405,0.042,11.433,7.090,3.468,1.157,0.230,12.179,7.977,4.419,1.912,0.582,14.298,10.283,6.848,4.054,2.073,16.136,12.305,8.915,6.041,3.773
10.693,6.078,2.313,0.409,0.033,11.475,7.099,3.471,1.105,0.229,12.204,7.976,4.407,1.942,0.602,14.253,10.264,6.849,4.072,2.133,16.158,12.332,8.896,6.038,3.813
10.692,6.079,2.300,0.381,0.049,11.432,7.092,3.451,1.133,0.247,12.187,7.964,4.400,1.909,0.612,14.264,10.272,6.806,4.077,2.113,16.131,12.326,8.895,6.052,3.761
10.679,6.098,2.303,0.372,0.033,11.495,7.096,3.453,1.160,0.237,12.201,7.941,4.392,1.888,0.583,14.274,10.273,6.823,4.035,2.108,16.165,12.312,8.913,6.057,3.796
