PL,,Mean:,-0.083,,,
7.464116,,STDEV:,8.182,,,
2.623686,,,,,,
-0.715491,,Lower:,-50,,,
1.85917,,Upper:,50,,,
-3.343637,,Num,40,,,
3.193051,,,,,,
-2.576202,,-50.0,,Bin,Frequency,
13.794526,,-47.5,,-50.0,0,0
-0.053299,,-45.0,,-47.5,0,0
-6.078927,,-42.5,,-45.0,0,0
9.445667,,-40.0,,-42.5,0,0
1.53825,,-37.5,,-40.0,0,0
-5.266207,,-35.0,,-37.5,0,0
5.590887,,-32.5,,-35.0,0,0
-2.638458,,-30.0,,-32.5,0,0
-18.976388,,-27.5,,-30.0,0,0
-6.488401,,-25.0,,-27.5,0,0
26.144709,,-22.5,,-25.0,0,0
-3.263869,,-20.0,,-22.5,0,0
-6.070525,,-17.5,,-20.0,1,0.005
-2.53749,,-15.0,,-17.5,3,0.015
-4.264674,,-12.5,,-15.0,1,0.005
1.982046,,-10.0,,-12.5,3,0.015
2.083697,,-7.5,,-10.0,14,0.07
6.882009,,-5.0,,-7.5,17,0.085
15.343475,,-2.5,,-5.0,15,0.075
-0.591216,,0.0,,-2.5,25,0.125
1.686826,,2.5,,0.0,27,0.135
7.793555,,5.0,,2.5,25,0.125
6.498315,,7.5,,5.0,17,0.085
-0.212392,,10.0,,7.5,19,0.095
-0.97668,,12.5,,10.0,9,0.045
-3.69914,,15.0,,12.5,9,0.045
13.985314,,17.5,,15.0,8,0.04
-7.535408,,20.0,,17.5,4,0.02
0.648623,,22.5,,20.0,0,0
5.260762,,25.0,,22.5,1,0.005
-7.683399,,27.5,,25.0,1,0.005
16.822115,,30.0,,27.5,1,0.005
-2.896837,,32.5,,30.0,0,0
-6.768279,,35.0,,32.5,0,0
1.114573,,37.5,,35.0,0,0
13.993741,,40.0,,37.5,0,0
-1.758139,,42.5,,40.0,0,0
24.837487,,45.0,,42.5,0,0
-11.68937,,47.5,,45.0,0,0
2.636562,,50.0,,47.5,0,0
-0.744717,,,,50.0,0,0
-10.260153,,,,More,0,200
0.167255,,,,,,
5.281144,,,,,,
-7.673244,,,,,,
8.773122,,,,,,
-5.922494,,,,,,
-1.317791,,,,,,
15.749515,,,,,,
8.590652,,,,,,
-11.928257,,,,,,
-7.385922,,,,,,
12.715015,,,,,,
2.057422,,,,,,
2.103531,,,,,,
6.05956,,,,,,
6.518499,,,,,,
-1.204505,,,,,,
2.737529,,,,,,
1.214771,,,,,,
-6.739142,,,,,,
2.121079,,,,,,
-3.822843,,,,,,
5.585481,,,,,,
-1.685581,,,,,,
-0.062301,,,,,,
20.632386,,,,,,
1.997376,,,,,,
-2.329729,,,,,,
1.577787,,,,,,
4.139676,,,,,,
-2.328754,,,,,,
-5.406261,,,,,,
14.295455,,,,,,
8.715823,,,,,,
-11.318283,,,,,,
-0.941772,,,,,,
16.581344,,,,,,
-3.913704,,,,,,
-1.141578,,,,,,
-18.350394,,,,,,
-11.451314,,,,,,
-3.652495,,,,,,
-2.95558,,,,,,
1.97984,,,,,,
-9.137615,,,,,,
-1.129204,,,,,,
3.264301,,,,,,
-2.823673,,,,,,
-2.565297,,,,,,
-20.407285,,,,,,
9.866599,,,,,,
3.064491,,,,,,
-2.899558,,,,,,
-2.518616,,,,,,
-19.635856,,,,,,
4.814216,,,,,,
-0.293279,,,,,,
7.297533,,,,,,
14.336176,,,,,,
-6.290935,,,,,,
5.500432,,,,,,
-3.7408,,,,,,
-0.478212,,,,,,
-9.547021,,,,,,
-0.474447,,,,,,
-5.625552,,,,,,
2.530967,,,,,,
-0.360729,,,,,,
4.655775,,,,,,
10.365305,,,,,,
10.07813,,,,,,
-3.434323,,,,,,
14.846294,,,,,,
-10.167231,,,,,,
-9.69884,,,,,,
0.672479,,,,,,
-16.167509,,,,,,
5.675589,,,,,,
4.143291,,,,,,
10.437691,,,,,,
-4.836095,,,,,,
9.436817,,,,,,
10.025619,,,,,,
-4.610028,,,,,,
-2.210869,,,,,,
-7.403145,,,,,,
-9.595645,,,,,,
3.130992,,,,,,
-7.838861,,,,,,
2.932037,,,,,,
-4.913087,,,,,,
0.657944,,,,,,
12.83998,,,,,,
-8.463794,,,,,,
-3.598104,,,,,,
-2.146265,,,,,,
-1.716336,,,,,,
5.270632,,,,,,
10.552776,,,,,,
-1.802938,,,,,,
-4.51931,,,,,,
-13.561178,,,,,,
-10.876753,,,,,,
1.295375,,,,,,
-8.050605,,,,,,
5.610459,,,,,,
8.356648,,,,,,
5.215458,,,,,,
-1.164467,,,,,,
3.126158,,,,,,
-12.345472,,,,,,
-5.452581,,,,,,
11.177746,,,,,,
-12.539975,,,,,,
-0.671183,,,,,,
6.254288,,,,,,
-12.187513,,,,,,
12.403025,,,,,,
-9.884628,,,,,,
-8.288855,,,,,,
5.497814,,,,,,
10.543356,,,,,,
-4.456932,,,,,,
0.963661,,,,,,
-10.609371,,,,,,
6.286509,,,,,,
-14.552767,,,,,,
-0.856022,,,,,,
3.276753,,,,,,
1.378477,,,,,,
-9.10665,,,,,,
-5.49444,,,,,,
-7.750414,,,,,,
12.226729,,,,,,
3.234771,,,,,,
-10.297871,,,,,,
2.187853,,,,,,
-10.09416,,,,,,
-9.349451,,,,,,
-9.003418,,,,,,
1.477706,,,,,,
-8.927513,,,,,,
6.000056,,,,,,
-3.675457,,,,,,
1.429561,,,,,,
-10.764892,,,,,,
-12.006139,,,,,,
1.735264,,,,,,
-6.139993,,,,,,
4.172367,,,,,,
7.936161,,,,,,
0.099686,,,,,,
160,,,,,,
